ID_Lands	ColorType	SellPrice	Costestimate	CostestimateB	MarketPrice	PriceWA	LandR	LandG	LandWA	Deed	RoadType	RoadWide	GroundLevel	GroundValue	AsseStatus	LProvince	LAmphur	LDistrict	LZipCode	ContactS	Blind	Neareducation	Cenmarket	Market	River	Mainroad	Insoi	LandAge	PPStatus	Owner	UserType
l6433	พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า	41730000	41000000	41000000	42000000	14951.63024	3	2	1391	น.ส.3	คอนกรีต	8 เมตร	สูงกว่าถนน	0.6	ว่าง	สมุทรปราการ	บางเสาธง	บางเสาธง	10540	เจ้าของ	0	0	0	0	0	0	1	3	ยังไม่ขาย	38	ระยะยาว
l1378	พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า	38750000	40000000	40000000	39000000	6191.08484	15	2	59	น.ส.2	ยางมะตอย	12 เมตร	ต่ำกว่าถนน	0.5	ว่าง	อุบลราชธานี	สำโรง	โนนกาเล็น	34360	นายหน้า	0	1	0	0	0	1	0	5	ยังไม่ขาย	59	ระยะสั้น
l8331	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	35900000	35000000	35900000	35900000	448750	3	2	80	น.ส.4จ.	คอนกรีต	8 เมตร	สูงกว่าถนน	0.5	ว่าง	ภูเก็ต	ถลาง	ป่าคลอก	83110	เจ้าของ	0	0	0	0	0	0	1	2		38	ระยะยาว
l3871	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	31360000	29800000	30000000	31000000	99999.99999	0	0	196	น.ส.3	คอนกรีต	4 เมตร			ว่าง	กรุงเทพมหานคร	เขตธนบุรี	หิรัญรูจี	10600	เจ้าของ	0	1	1	0	0	0	1	3	ยังไม่ขาย	63	ระยะยาว
l9800	พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า	30000000	29000000	28000000	29500000	6250	12	0	0	น.ส.4จ.	โคลน	2 เมตร	ต่ำกว่าถนน	1	ว่าง	ลพบุรี	เมืองลพบุรี	ท่าหิน	15000	เจ้าของ	1	0	0	0	0	0	0	1	ยังไม่ขาย	63	ระยะยาว
l0438	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	26400000	25200000	25400000	26000000	99999.99999	0	1	76	ส.ค.1	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	กรุงเทพมหานคร	เขตบางซื่อ	บางซื่อ	10800	เจ้าของ	0	1	1	1	0	0	1	3	ยังไม่ขาย	59	ระยะยาว
l2999	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	24900000	32000000	30000000	28000000	92222.22222	0	2	70	น.ส.2	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	นนทบุรี	เมืองนนทบุรี	บางเขน	11000	เจ้าของ	0	1	1	1	0	0	1	3	ยังไม่ขาย	59	ระยะสั้น
l3910	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	22500000	25000000	24000000	20000000	244565	25	2	92	น.ส.3ก.	คอนกรีต	ซอยแคบ	สูงกว่าถนน	0.6	ฝากขาย	เชียงราย	แม่จัน	จันจว้า	57270	นายหน้า	0	0	0	0	0	0	1	3		39	ระยะสั้น
l6469	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	21846000	30000000	25000000	20000000	2000	27	1	23	น.ส.2	ยางมะตอย	8 เมตร	ต่ำกว่าถนน	0.1	ว่าง	ปราจีนบุรี	ศรีมโหสถ	โคกไทย	25190	นายหน้า	0	0	0	0	0	1	0	3	ยังไม่ขาย	59	ระยะสั้น
l1284	พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า	21000000	25000000	25000000	20000000	4741.47663	11	0	29	น.ส.4จ.	โคลน	2 เมตร	ต่ำกว่าถนน	0.5	ว่าง	ชลบุรี	พนัสนิคม	หน้าพระธาตุ	20140	นายหน้า	0	0	0	0	1	0	1	5	ยังไม่ขาย	59	ระยะสั้น
l7580	พื้นที่สีแดง – ที่ดินประเภทพาณิชยกรรม	20000000	30000000	30000000	20000000	5263.15789	9	2	0	น.ส.2		4 เมตร	ต่ำกว่าถนน	0.3	ว่าง	จันทบุรี	ท่าใหม่	เขาบายศรี	22120	เจ้าของ	0	0	1	0	0	1	0		ยังไม่ขาย	59	ระยะสั้น
l1045	พื้นที่สีเม็ดมะปราง – ที่ดินประเภทคลังสินค้า	18500000	19600000	19700000	19800000	990.09901	20	120	200	น.ส.4จ.	โคลน	12 เมตร	สูงกว่าถนน	1	ว่าง	กรุงเทพมหานคร	เขตพระนคร	วังบูรพาภิรมย์	10200	เจ้าของ	1	1	0	0	0	0	0	1998	ยังไม่ขาย	60	ระยะสั้น
l9979	พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า	16200000	16000000	16000000	15000000	12857.14286	3	0	60	น.ส.4จ.	คอนกรีต	8 เมตร	สูงกว่าถนน	-2	ว่าง	บุรีรัมย์	เมืองบุรีรัมย์	กระสัง	31000	เจ้าของ	0	0	1	0	0	1	0	5	ยังไม่ขาย	59	ระยะยาว
l3083	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	15000000	12500000	13000000	14000000	0	2	2	20	น.ส.3	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	สุราษฎร์ธานี	เกาะสมุย	แม่น้ำ	84330	นายหน้า	0	0	0	0	0	0	1	2	ยังไม่ขาย	59	ระยะยาว
l3386	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	15000000	20000000	20000000	15000000	16891.89189	2	0	88	น.ส.3ก.	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	กรุงเทพมหานคร	เขตบางบอน	บางบอน	10150	นายหน้า	1	0	0	0	0	0	1	3	ยังไม่ขาย	59	ระยะสั้น
l5212	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	14204250	15000000	15000000	10000000	2250	15	3	13	น.ส.2	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	1	ว่าง	นครปฐม	นครชัยศรี	บางแก้วฟ้า	73120	นายหน้า	0	1	0	1	0	0	1	5	ยังไม่ขาย	59	ระยะสั้น
l3113	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	13730000	30000000	30000000	50000000	5000	6	3	46	น.ส.2	ยางมะตอย	8 เมตร	สูงกว่าถนน	0.5	ว่าง	เชียงใหม่	ดอยสะเก็ด	ป่าเมี่ยง	50220	เจ้าของ	0	0	1	0	1	1	0	5	ยังไม่ขาย	59	ระยะสั้น
l2873	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	13475000	15000000	15000000	20000000	49000	0	2	75	น.ส.4จ.	คอนกรีต	4 เมตร	สูงกว่าถนน	0.1	ว่าง	นนทบุรี	เมืองนนทบุรี	ไทรม้า	11000	เจ้าของ	0	1	1	1	0	0	1		ยังไม่ขาย	59	ระยะสั้น
l5147	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	13000000	14000000	14000000	15000000	0	38	0	0	น.ส.3	ดิน		ต่ำกว่าถนน	0.8	ว่าง	ชลบุรี	เมืองชลบุรี	ห้วยกะปิ	20000	นายหน้า	0	0	1	0	0	0	0	15		46	ระยะสั้น
l3423	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	12000000	11700000	11800000	12000000	25104.60251	1	0	78	น.ส.3	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	ปทุมธานี	ลำลูกกา	บึงคำพร้อย	12150	เจ้าของ	0	0	1	0	1	0	1	5	ยังไม่ขาย	38	ระยะยาว
l4444	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	11972000	20000000	20000000	10000000	849.98225	35	0	85	น.ส.4จ.	ยางมะตอย	4 เมตร	สูงกว่าถนน	0.1	ว่าง	ราชบุรี	ปากท่อ	ทุ่งหลวง	70140	นายหน้า	0	0	0	0	0	0	1	2	ยังไม่ขาย	59	ระยะสั้น
l4486	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	11850000	10000000	10000000	15000000	6236.84211	4	3	0	น.ส.4จ.	ยางมะตอย	8 เมตร	สูงกว่าถนน	0.3	ว่าง	ราชบุรี	โพธาราม	เจ็ดเสมียน	70120	เจ้าของ	0	0	0	0	0	1	0	6	ยังไม่ขาย	59	ระยะยาว
l4404	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	11000000	10268250	10200000	11100000	803.44752	34	0	91	น.ส.3	โคลน	4 เมตร	ต่ำกว่าถนน	1.2	ว่าง	สุพรรณบุรี	สองพี่น้อง	สองพี่น้อง	72110	เจ้าของ	0	0	0	0	0	0	1	13	ยังไม่ขาย	38	ระยะยาว
l7632	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	11000000	11500000	12000000	13000000	44000	0	2	50	น.ส.4จ.	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	กรุงเทพมหานคร	เขตบางแค	บางแคเหนือ	10160	นายหน้า	1	0	0	0	0	0	1	2	ยังไม่ขาย	59	ระยะสั้น
l0893	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	10000000	11000000	10500000	10000000	13	200	3	64	น.ส.2	โคลน		สูงกว่าถนน	0.5	ฝากขาย	เชียงราย	เมืองเชียงราย	บ้านดู่	57100	เจ้าของ	0	0	0	0	0	0	1	3		29	ระยะสั้น
l7397	พื้นที่สีน้ำตาลอ่อน – ที่ดินประเภทอนุรักษ์เพื่อส่งเสริมเอกลักษณ์ศิลปวัฒนธรรมไทย	10000000	9990000	9900000	10000000	10000	2	0	200	น.ส.3	คอนกรีต	4 เมตร	ต่ำกว่าถนน	2.3	ขายฝาก	นครราชสีมา	ปากช่อง	หมูสี	30130	เจ้าของ	0	0	0	0	0	1	1	6	ยังไม่ขาย	38	ระยะยาว
l0401	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	8720000	8600000	8500000	8600000	16000	1	1	45	น.ส.3	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	ชลบุรี	สัตหีบ	บางเสร่	20250	นายหน้า	0	0	0	1	0	0	1	3	ยังไม่ขาย	59	ระยะสั้น
l9275	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	8500000	10000000	10000000	8000000	84158.41584	0	1	1	ส.ค.1	โคลน	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	นครราชสีมา	ปากช่อง	หมูสี	30130	นายหน้า	1	0	0	0	0	0	0	5	ยังไม่ขาย	59	ระยะสั้น
l5316	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	8400000	8500000	8500000	8000000	99999.99999	0	0	24	น.ส.4จ.	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	นครราชสีมา	ปากช่อง	หมูสี	30130	นายหน้า	1	0	0	0	0	1	0	3	ยังไม่ขาย	59	ระยะสั้น
l0447	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	8200000	8600000	8660000	8430000	3009.17431	6	3	25	น.ส.3	โคลน	2 เมตร	สูงกว่าถนน	0.1	ว่าง	ชุมพร	หลังสวน	บางน้ำจืด	86150	นายหน้า	0	0	0	0	1	0	0	10	ยังไม่ขาย	59	ระยะสั้น
l1712	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	8160000	10000000	10000000	8500000	400	51	0	0	น.ส.3	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	สุพรรณบุรี	อู่ทอง	อู่ทอง	72160	นายหน้า	0	0	0	0	0	1	0	3	ยังไม่ขาย	59	ระยะสั้น
l7014	พื้นที่สีน้ำตาลอ่อน – ที่ดินประเภทอนุรักษ์เพื่อส่งเสริมเอกลักษณ์ศิลปวัฒนธรรมไทย	8160000	8200000	8250000	8060000	28469.75089	0	2	81	น.ส.3ก.	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.3	ว่าง	นครศรีธรรมราช	สิชล	สิชล	80120	นายหน้า	0	0	0	0	1	1	0	5	ยังไม่ขาย	59	ระยะสั้น
l5852	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	7791000	8000000	8000000	7500000	3000	6	1	97	น.ส.3	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0	ว่าง	เชียงใหม่	แม่ริม	สะลวง	50330	นายหน้า	0	0	0	0	0	0	1	6	ยังไม่ขาย	59	ระยะสั้น
l4549	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	7699000	7698000	7690000	7699440	4207.10383	4	0	230	น.ส.3	ยางมะตอย	8 เมตร	ต่ำกว่าถนน	1	ว่าง	นครนายก	องครักษ์	พระอาจารย์	26120	เจ้าของ	0	0	0	0	0	1	0	2	ยังไม่ขาย	38	ระยะยาว
l7289	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	7550000	8000000	8000000	7000000	50000	0	1	51	น.ส.3ก.	คอนกรีต	8 เมตร	สูงกว่าถนน	0.1	ว่าง	กรุงเทพมหานคร	เขตดอนเมือง	สีกัน	10210	นายหน้า	0	1	1	1	0	0	1	6	ยังไม่ขาย	59	ระยะสั้น
l0858	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	7500000	8000000	8000000	7000000	831.66999	22	2	18	น.ส.4จ.	ยางมะตอย	12 เมตร	ต่ำกว่าถนน	0.5	ว่าง	พระนครศรีอยุธยา	บางปะอิน	บ้านกรด	13160	นายหน้า	0	0	0	0	0	1	0	5	ยังไม่ขาย	59	ระยะสั้น
