ID_Lands	ColorType	SellPrice	Costestimate	CostestimateB	MarketPrice	PriceWA	LandR	LandG	LandWA	Deed	RoadType	RoadWide	GroundLevel	GroundValue	AsseStatus	LProvince	LAmphur	LDistrict	LZipCode	ContactS	Blind	Neareducation	Cenmarket	Market	River	Mainroad	Insoi	LandAge	PPStatus	Owner	UserType
l6176	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	3500000	5000000	5000000	4000000	37234.04255	0	0	94	น.ส.3ก.	คอนกรีต	4 เมตร	สูงกว่าถนน	0.1	ว่าง	ขอนแก่น	เมืองขอนแก่น	ในเมือง	40000	นายหน้า	0	0	1	1	0	0	1	5	ยังไม่ขาย	59	ระยะสั้น
l6850	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	3150000	4000000	4000000	3000000	848.14216	9	1	14	น.ส.4จ.	โคลน	8 เมตร	สูงกว่าถนน	3	ว่าง	นครราชสีมา	วังน้ำเขียว	ระเริง	30150	นายหน้า	0	0	0	0	0	1	0		ยังไม่ขาย	59	ระยะสั้น
l7322	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	3000000	3200000	3500000	3100000	1429	5	2	21	น.ส.3ก.	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0.5	ว่าง	เชียงราย	แม่สาย	แม่สาย	57130	นายหน้า	0	0	0	0	0	1	0	2		39	ระยะสั้น
l7434	พื่นที่สีเหลือง - ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	3000000	0	0	0	0	2	2	2	NULL	NULL	-เลือก-	NULL		-เลือก-	กระบี่	คลองท่อม	คลองท่อมเหนือ	81120	นายหน้า	0	0	0	0	0	0	0			46	ระยะสั้น
l9030	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	2600000	2600000	2600000	2600000	14606.74157	0	0	178	น.ส.4จ.	คอนกรีต	4 เมตร	สูงกว่าถนน	0.1	ว่าง	นครสวรรค์	เมืองนครสวรรค์	นครสวรรค์ออก	60000	เจ้าของ	0	0	0	0	0	0	1	5	ยังไม่ขาย	38	ระยะสั้น
l5293	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	2200000	1800000	2000000	2100000	458.33333	12	0	0	น.ส.2	โคลน	1 เมตร	ต่ำกว่าถนน	1	ว่าง	กาฬสินธุ์	ยางตลาด	บัวบาน	46120	นายหน้า	1	0	0	0	0	0	0	4	ยังไม่ขาย	63	ระยะยาว
l7161	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	2000000	2300000	2400000	1900000	4347.82609	1	0	60	น.ส.4จ.	โคลน	4 เมตร	ต่ำกว่าถนน	1.1	ว่าง	สมุทรปราการ	บางบ่อ	บ้านระกาศ	10560	เจ้าของ	0	1	1	1	0	0	0	3	ยังไม่ขาย	29	ระยะสั้น
l9069	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	1955000	1953000	1950000	1956000	407.29167	11	2	200	น.ส.3	โคลน	2 เมตร	ต่ำกว่าถนน	2	ว่าง	เชียงราย	เมืองเชียงราย	ห้วยสัก	57000	นายหน้า	0	0	0	0	1	0	1	10	ยังไม่ขาย	38	ระยะยาว
l2872	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	1800000	2000000	2000000	2500000	15000	0	1	20	น.ส.3	คอนกรีต	8 เมตร	สูงกว่าถนน	0.2	ว่าง	นนทบุรี	บางบัวทอง	บางรักพัฒนา	11110	เจ้าของ	0	0	0	0	0	0	1	3	ยังไม่ขาย	59	ระยะสั้น
l5335	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	1700000	2000000	2000000	1500000	1802.75716	2	1	43	น.ส.4จ.	โคลน	2 เมตร	สูงกว่าถนน	0.2	ว่าง	แม่ฮ่องสอน	ปาย	ทุ่งยาว	58130	นายหน้า	1	0	0	0	0	0	1	6	ยังไม่ขาย	59	ระยะสั้น
l9626	พื้นที่สีเม็ดมะปราง – ที่ดินประเภทคลังสินค้า	1580000	1500000	1500000	1600000	8404.25532	0	1	88	น.ส.4จ.	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	ประจวบคีรีขันธ์	หัวหิน	หินเหล็กไฟ	77110	นายหน้า	1	0	0	0	0	0	1	-	ยังไม่ขาย	59	ระยะยาว
l1198	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	1490000	1490000	1480000	1500000	24833.33333	0	0	60	น.ส.3	คอนกรีต	4 เมตร	สูงกว่าถนน	0.3	ว่าง	กรุงเทพมหานคร	เขตหนองแขม	หนองแขม	10160	เจ้าของ	0	0	0	0	0	0	1	5	ยังไม่ขาย	38	ระยะยาว
l4947	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	1150000	15000000	1500000	1000000	6764.70588	0	1	70	น.ส.4จ.	คอนกรีต	2 เมตร	สูงกว่าถนน	0.1	ว่าง	นครนายก	เมืองนครนายก	นครนายก	26000	เจ้าของ	0	1	0	0	0	0	1	6	ยังไม่ขาย	59	ระยะสั้น
l1555	พื้นที่สีเหลือง - ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	1000000	860000	930000	900000	5000	0	1	20	152346	คอนกรีต	1 เลน	สูงกว่าถนน	0.5	จำนอง	กระบี่	คลองท่อม	คลองท่อมเหนือ	81120	เจ้าของ	1	0	0	0	0	0	0	10	ยังไม่ขาย	29	ระยะยาว
l0890	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	790000	800000	800000	850000	3278.0083	0	2	41	น.ส.4จ.	ยางมะตอย	8 เมตร	ต่ำกว่าถนน	0.5	ว่าง	เชียงใหม่	สันป่าตอง	ท่าวังพร้าว	50120	นายหน้า	0	0	0	1	0	1	0	5	ยังไม่ขาย	59	ระยะสั้น
l3359	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	700000	520000	500000	650000	3500	0	1	100	น.ส.3ก.	คอนกรีต	1 เมตร	ต่ำกว่าถนน	0.1	ว่าง	ขอนแก่น	บ้านไผ่	ในเมือง	40110	เจ้าของ	0	0	0	0	0	0	1	2	ยังไม่ขาย	59	ระยะยาว
l0456	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	654000	615000	600000	630000	3336.73469	0	0	196	น.ส.3	คอนกรีต	2 เมตร	ต่ำกว่าถนน	0.6	ว่าง	เชียงใหม่	สันกำแพง	*ห้วยแก้ว		เจ้าของ	0	0	0	0	0	0	1	5	ยังไม่ขาย	63	ระยะยาว
l1621	พื่นที่สีเหลือง - ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	500000	4500000	4500000	4430000	0	60	20		NULL	อื่นๆ	4 เมตร	NULL		-เลือก-	ขอนแก่น	บ้านฝาง	บ้านฝาง	40270	เจ้าของ	0	1	1	1	0	0	0			29	ระยะยาว
l4252	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	350000	500000	500000	400000	5384.61538	0	0	65	น.ส.4จ.	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	อุบลราชธานี	วารินชำราบ	บุ่งไหม	34190	นายหน้า	1	0	0	0	0	0	1	3	ยังไม่ขาย	59	ระยะสั้น
l1414	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	320000	260000	250000	280000	66.66667	12	0	0	น.ส.3	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	1.2	ว่าง	เชียงราย	พาน	แม่อ้อ	57120	เจ้าของ	0	0	0	0	0	1	0	5	ยังไม่ขาย	63	ระยะยาว
l3844	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	10000	10000	10000	10000	0.32648	76	2	30	น.ส.3	คอนกรีต	8 เมตร	ต่ำกว่าถนน	0.6	ว่าง	NULL	เมืองสมุทรปราการ	บางปูใหม่	10280	นายหน้า	0	0	0	0	0	1	0	5	ยังไม่ขาย	38	ระยะยาว
