SellPrice,Costestimate,CostestimateB,MarketPrice,PriceWA,LandR,LandG,Blind,Neareducation,Cenmarket,Market,River,Mainroad,Insoi,ID_Lands_n,ColorType_n,AsseStatus_n,LAmphur_n,LDistrict_n,UserType_n
4500000,4200000,4000000,3500000,5521.47239,2,0,0,0,0,0,0,0,1,77,9,4,61,8,0
4400000,4000000,4000000,5000000,16479.40075,0,2,1,0,0,0,0,0,1,27,2,4,60,2,0
4300000,5000000,4500000,4500000,9780.0,0,0,0,0,0,0,0,1,0,7,6,4,61,47,1
4200000,5000000,4500000,4500000,10500.0,1,4,0,0,0,0,0,1,0,32,5,3,65,7,1
4200000,4000000,5000000,4000000,42000.0,0,3,0,0,0,0,0,1,0,42,9,2,65,7,0
3900000,4100000,4000000,3500000,9750.0,0,3,0,0,0,0,0,1,0,72,7,2,65,7,1
3720000,3720000,3720000,3720000,13191.48936,0,2,0,0,0,0,0,1,0,83,9,4,9,46,0
3700000,3500000,3500000,3900000,60000.0,0,0,1,0,0,0,1,0,0,8,9,4,37,62,0
3600000,3200000,3000000,3400000,750.0,12,0,0,0,0,0,0,1,0,1,4,4,57,70,0
3500000,5000000,5000000,4000000,37234.04255,0,0,0,0,1,1,0,0,1,54,5,4,50,75,1
3150000,4000000,4000000,3000000,848.14216,9,1,0,0,0,0,0,1,0,59,6,4,22,45,1
3000000,3200000,3500000,3100000,1429.0,5,2,0,0,0,0,0,1,0,65,6,4,66,68,1
3000000,0,0,0,0.0,2,2,0,0,0,0,0,0,0,67,0,0,0,3,1
2600000,2600000,2600000,2600000,14606.741569999998,0,0,0,0,0,0,0,0,1,81,9,4,53,18,1
2200000,1800000,2000000,2100000,458.33333,12,0,1,0,0,0,0,0,0,46,6,4,20,19,0
2000000,2300000,2400000,1900000,4347.82609,1,0,0,1,1,1,0,0,0,63,9,4,7,38,1
1955000,1953000,1950000,1956000,407.29167,11,2,0,0,0,0,1,0,1,82,6,4,61,61,0
1800000,2000000,2000000,2500000,15000.0,0,1,0,0,0,0,0,0,1,22,2,4,6,26,1
1700000,2000000,2000000,1500000,1802.75716,2,1,1,0,0,0,0,0,1,48,6,4,16,10,1
1580000,1500000,1500000,1600000,8404.25532,0,1,1,0,0,0,0,0,1,86,7,4,35,58,0
1490000,1490000,1480000,1500000,24833.33333,0,0,0,0,0,0,0,0,1,14,5,4,48,55,0
1150000,15000000,1500000,1000000,6764.7058799999995,0,1,0,1,0,0,0,0,1,43,1,4,52,17,1
1000000,860000,930000,900000,5000.0,0,1,1,0,0,0,0,0,0,18,8,2,0,3,0
790000,800000,800000,850000,3278.0083,0,2,0,0,0,1,0,1,0,11,9,4,30,13,1
700000,520000,500000,650000,3500.0,0,1,0,0,0,0,0,0,1,29,9,4,13,75,0
654000,615000,600000,630000,3336.73469,0,0,0,0,0,0,0,0,1,6,9,4,29,0,0
500000,4500000,4500000,4430000,0.0,60,20,0,1,1,1,0,0,0,19,0,0,12,37,0
350000,500000,500000,400000,5384.615379999999,0,0,1,0,0,0,0,0,1,37,9,4,23,33,1
320000,260000,250000,280000,66.66667,12,0,0,0,0,0,0,1,0,17,6,4,19,69,0
10000,10000,10000,10000,0.32648,76,2,0,0,0,0,0,1,0,34,6,4,59,25,0
