PropertyType_n,SellPrice,CostestimateB,MarketPrice,HouseArea,Floor,HomeCondition_n,BuildingAge,RoadType_n,AsseStatus_n,UserType_n
2,2000000,1000000,2000000,135.0,2,2,6,1,3,0
1,8000000,9000000,8000000,400.0,1,2,7,3,2,0
1,1500000,1300000,1700000,18.0,2,3,2,1,2,0
1,1000000,1000000,1000000,30.0,1,3,2,1,2,0
1,19000000,20000000,19000000,0.0,2,3,4,0,2,0
1,2200000,1980000,0,125.0,2,3,4,1,2,0
1,2300000,2070000,0,130.0,2,3,4,1,2,0
1,1900000,1710000,0,120.0,2,3,4,1,2,0
1,2100000,1890000,0,100.0,2,3,4,1,2,0
1,1789000,1610100,0,110.0,2,3,4,1,2,0
1,1610000,1449000,0,0.0,2,3,2,1,2,0
1,4000000,3600000,0,133.0,2,3,1,1,2,0
1,2990000,2691000,0,182.0,3,3,5,1,2,0
1,3990000,3591000,0,200.0,3,3,6,1,2,0
1,2450000,2205000,0,95.0,3,3,0,1,2,0
0,1790000,1611000,0,28.0,8,3,4,1,2,0
0,1490000,1341000,0,24.0,8,3,4,1,2,0
1,3700000,3330000,0,165.0,2,3,5,1,2,0
1,2970000,2673000,0,145.0,2,3,5,1,2,0
1,2990000,2691000,0,150.0,3,3,5,1,2,0
1,1990000,1791000,0,120.0,2,3,1,1,2,0
1,3900000,3510000,0,218.0,3,3,9,1,2,0
1,2590000,2331000,0,171.0,2,3,9,1,2,0
0,1670000,1503000,0,29.0,8,3,5,1,2,0
1,3190000,2871000,0,117.0,2,3,2,1,2,0
1,2850000,2565000,0,103.0,2,3,2,1,2,0
0,1690000,1521000,0,33.0,8,3,2,1,2,0
0,1640000,1476000,0,32.0,8,3,2,1,2,0
0,2200000,1980000,0,33.0,8,3,0,1,2,0
0,1500000,1350000,0,22.0,8,3,0,1,2,0
0,1390000,1251000,0,20.0,8,3,0,1,2,0
0,4100000,3690000,0,56.0,8,3,7,1,2,0
0,2900000,2610000,0,33.0,8,3,7,1,2,0
0,4000000,3600000,0,48.0,8,3,3,1,2,0
0,2590000,2331000,0,32.0,8,3,3,1,2,0
1,25900000,23310000,0,390.0,3,3,3,1,2,0
1,15900000,14310000,0,255.0,3,3,3,1,2,0
0,5250000,4725000,0,56.0,7,3,3,1,2,0
0,4490000,4041000,0,50.0,7,3,3,1,2,0
0,2800000,2520000,0,29.0,7,3,3,1,2,0
0,6990000,6291000,0,82.0,7,3,4,1,2,0
0,5990000,5391000,0,60.0,7,3,4,1,2,0
0,3890000,3501000,0,39.05,7,3,4,1,2,0
1,13900000,12510000,0,280.0,2,3,6,1,2,0
1,14500000,13050000,0,250.0,3,3,6,1,2,0
1,8090000,7281000,0,210.0,2,3,6,1,2,0
1,8990000,8091000,0,195.0,2,3,6,1,2,0
2,24000000,21600000,0,250.0,4,3,3,1,2,0
1,1890000,1701000,0,101.0,2,3,0,1,2,0
