ID_Lands,ColorType,SellPrice,Costestimate,CostestimateB,MarketPrice,PriceWA,LandR,LandG,AsseStatus,LAmphur,LDistrict,Blind,Neareducation,Cenmarket,Market,River,Mainroad,Insoi,Owner,UserType
l1284,พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า,21000000,25000000,25000000,20000000,4741.47663,11,0,ว่าง,พนัสนิคม,หน้าพระธาตุ,0,0,0,0,1,0,1,59,ระยะสั้น
l7580,พื้นที่สีแดง – ที่ดินประเภทพาณิชยกรรม,20000000,30000000,30000000,20000000,5263.1578899999995,9,2,ว่าง,ท่าใหม่,เขาบายศรี,0,0,1,0,0,1,0,59,ระยะสั้น
l1045,พื้นที่สีเม็ดมะปราง – ที่ดินประเภทคลังสินค้า,18500000,19600000,19700000,19800000,990.0990099999999,20,120,ว่าง,เขตพระนคร,วังบูรพาภิรมย์,1,1,0,0,0,0,0,60,ระยะสั้น
l9979,พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า,16200000,16000000,16000000,15000000,12857.14286,3,0,ว่าง,เมืองบุรีรัมย์,กระสัง,0,0,1,0,0,1,0,59,ระยะยาว
l3083,พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม,15000000,12500000,13000000,14000000,0.0,2,2,ว่าง,เกาะสมุย,แม่น้ำ,0,0,0,0,0,0,1,59,ระยะยาว
l3386,พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม,15000000,20000000,20000000,15000000,16891.89189,2,0,ว่าง,เขตบางบอน,บางบอน,1,0,0,0,0,0,1,59,ระยะสั้น
l5212,พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม,14204250,15000000,15000000,10000000,2250.0,15,3,ว่าง,นครชัยศรี,บางแก้วฟ้า,0,1,0,1,0,0,1,59,ระยะสั้น
l3113,พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม,13730000,30000000,30000000,50000000,5000.0,6,3,ว่าง,ดอยสะเก็ด,ป่าเมี่ยง,0,0,1,0,1,1,0,59,ระยะสั้น
l2873,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,13475000,15000000,15000000,20000000,49000.0,0,2,ว่าง,เมืองนนทบุรี,ไทรม้า,0,1,1,1,0,0,1,59,ระยะสั้น
l5147,พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง,13000000,14000000,14000000,15000000,0.0,38,0,ว่าง,เมืองชลบุรี,ห้วยกะปิ,0,0,1,0,0,0,0,46,ระยะสั้น
